rowname,Gm10847,Gm10851,Gm12752,Gm12753,Gm12801,Gm12802,Gm12818,Gm12832,Gm12864,Gm12877
5S_rRNA,0,0,0,0,0,0,0.9282541294255172,0,0,1.0744922811727675
A1BG,31.286329498354537,76.96209829373434,54.718962369373976,21.11689085375253,36.942283225391385,23.416695073391608,47.5468922123488,77.89408693353508,28.687922454599825,33.81528066976894
A1CF,0,0,0,0,0,0,0,0,0,0
A2M,0,46.78073437128149,27.42697321353211,95.34691009811256,1.837050816848096,1.235926766846316,2.23524807668945,0,1.071369656130604,0
A2ML1,0,1.352482755576548,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0
A4GALT,56.53354964084203,102.6080135094706,151.28830499929427,62.12529170185223,136.39669887225608,280.43448916781216,198.11724750990297,215.4687722259245,44.23844180585361,233.26544464178505
A4GNT,0,0,0,0,0,0,0,0,0,0
AAAS,219.10975646785218,225.46961136775735,223.5764938536983,230.33586722023335,247.48567401238878,223.21200536441984,205.51208462534524,258.45588491809735,242.8808287889867,250.52819871471505
AACS,276.8170828415132,309.08149924032125,138.02656945305023,417.8710411277047,214.96844850328577,372.8199654849723,391.8425394044147,310.76488265930664,436.0391457790497,405.01459212257475
AACSP1,0,0,2.070707815432228,0,0,0.8336918767362722,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,1.2351109424356705,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0
AADAT,1.1273448462838422,0,0,0,0,0,0.8975612539103415,0,1.0795325588979243,0
AAGAB,299.96229122113346,292.38057420044044,289.50637945415536,277.6178505202766,167.14670261097405,262.4734634374566,245.263861849155,236.33390573732584,206.98618735589775,261.86154337904185
AAK1,475.68039198827313,498.72056106191286,832.014987207251,561.9787707647229,657.7176283501583,668.0988218135188,480.87274101221783,398.95325725875665,316.5907027048023,655.5209605653232
AAMDC,13.930893713896896,20.078918368835307,19.203780093685634,14.492450040832981,21.338344104885014,24.59909782502211,13.6915740588289,11.24922554935112,14.365704607261334,17.152403075027642
AAMP,352.94980509543245,275.1795021922832,137.32255265627578,291.9781871697868,198.1948969327817,450.1590238856877,322.19384826332185,388.81658412706435,306.55479998110883,415.99104343878486
AANAT,0,0,0,0.19509412270862064,3.9318016767078365,0,0,0,0,1.2261200806813606
AAR2,139.03243814336287,149.55199906617082,161.8194095337337,182.75948615811726,152.2167438170248,150.55984380226116,176.4503744160397,154.49859288865218,177.54735672091056,179.47981313997283
