rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DDX11L1	1.3121922282735128	0.6755375013081811	1.2368211963010782	0.5461884897578483	0.5849363773695414	0.9944832763750364
WASH7P	112.97235707864756	0.06588032870868597	0.2516781740836641	0.2617641714405704	0.7935032631786416	0.9944832763750364
MIR6859-1	1.1020319446810254	0.7943604697932735	1.5544553164761636	0.5110217459283619	0.609335829788882	0.9944832763750364
MIR1302-2	0.09027853278288553	-0.1451365947345489	3.160746997927919	-0.04591844738908101	0.9633752507948017	NA
FAM138A	2.8461848357961834	0.7624486761744093	0.8537610516459332	0.8930469183438547	0.3718320474513294	0.9944832763750364
OR4F5	0	NA	NA	NA	NA	NA
LOC101927589	1.2559623755219937	-1.33998551085385	1.32264120067548	-1.0131133902146041	0.31100600313973176	0.9944832763750364
LOC729737	121.66410155121807	-0.31105904194319733	0.6159133022257756	-0.505037057681817	0.6135328082490509	0.9944832763750364
LOC100996442	19.645303303839214	-0.0483286825410227	0.34598604365171165	-0.13968390756730342	0.888909741641704	0.9974613506984019
LOC102723897	125.31231372481926	-0.2609447192877523	0.25447289787399763	-1.025432262012276	0.30515927200062953	0.9944832763750364
LOC102723917	1.4910064709213997	-0.2622661781063101	1.2670875267974893	-0.2069834739587224	0.8360227648980074	0.9970328194143663
LOC101929192	0	NA	NA	NA	NA	NA
OR4F29	0.099574509284503	1.0090050248164215	3.160746997927919	0.3192299242798907	0.7495521668391496	NA
RP4-669L17.10	76.0360284979188	0.2846659479089667	0.2982852101408268	0.9543414766510543	0.3399108195354435	0.9944832763750364
LOC100134822	40.281060116107916	-0.5264733757157344	0.5222962204230631	-1.0079976747472683	0.3134555785174438	0.9944832763750364
RP5-857K21.5	0	NA	NA	NA	NA	NA
MIR6723	1.2802059956442375	-2.1174310443372453	1.3890030203462735	-1.5244250828262254	0.12740255826529584	0.9944832763750364
OR4F16	0.06494637921839805	-0.145136594734549	3.160746997927919	-0.045918447389081046	0.9633752507948017	NA
LOC100133331	146.65271016216508	0.3973760306837127	0.30621530182837253	1.2977014156739755	0.1943899570200173	0.9944832763750364
LOC101928706	53.7204627589481	0.3052135684592226	0.3350524981060649	0.9109425244834425	0.3623256580904386	0.9944832763750364
LOC101060494	19.911418327627935	-0.2214250306984311	0.3868940319254032	-0.5723144128031521	0.5671089871501414	0.9944832763750364
LOC100288069	54.71451051054827	-0.2930285748125801	0.23464097743526732	-1.2488380248646924	0.21172432304165373	0.9944832763750364
LOC100287934	26.625587325554847	0.13412707297865695	0.3509464993737167	0.3821866672498916	0.7023229105697217	0.9944832763750364
FAM87B	0.3234578788702197	-0.5353113482271763	3.1293751171975153	-0.17106014082024457	0.8641764768736571	NA
LINC00115	27.450336491556566	0.2268148536524417	0.32713727280369403	0.6933323485537124	0.48810100683837065	0.9944832763750364
LINC01128	123.51502244220428	0.5258585976613973	0.24881389642788232	2.1134615277158173	0.03456128454720799	0.8359389289384848
FAM41C	0.5571945683793093	0.4992855143746761	2.3271496237304503	0.21454809320524698	0.8301196670255464	NA
LOC284600	4.639958516504637	-0.2028312893014246	0.6447110256691504	-0.3146080665999228	0.7530592537093136	0.9944832763750364
LOC100130417	0	NA	NA	NA	NA	NA
LOC101928801	0	NA	NA	NA	NA	NA
SAMD11	0.42640502063497904	-1.9734471736144146	3.0969635700306637	-0.6372200153438922	0.5239815420189113	NA
NOC2L	502.5131663538129	-0.07353299317157888	0.205624310287334	-0.35760846112420175	0.7206363454605225	0.9944832763750364
KLHL17	133.24187183479157	-0.21312100801883205	0.26233389955740744	-0.8124036137853166	0.41656007330357775	0.9944832763750364
PLEKHN1	14.056692791405702	0.7076650036307237	0.40404573589627873	1.7514477712799972	0.07986881037051309	0.9622566110667498
PERM1	0.8590356510471348	-0.564074145719893	1.4105888515224279	-0.39988558332294777	0.689240791199055	0.9944832763750364
HES4	34.31538265938962	0.18333499914887133	0.6090834736509338	0.30100143425323134	0.7634134008387025	0.9944832763750364
ISG15	494.28531319731445	0.7806714962663451	0.330812950511796	2.359857723401032	0.01828194514440374	0.756889378697342
AGRN	1094.0358223315063	-0.1480312800647911	0.25249923640207744	-0.5862642682573006	0.5576979389785346	0.9944832763750364
LOC100288175	74.73891773913745	0.3131709992266253	0.31939248603390347	0.9805208729718902	0.32682907149247675	0.9944832763750364
RNF223	0.24571321975234614	-1.154364125996291	3.1441346597364968	-0.36714843698616767	0.7135082987852943	NA
C1orf159	84.18934738992293	0.07164375590332187	0.19656784789984733	0.3644734205963574	0.7155045181592643	0.9944832763750364
RP11-465B22.5	0	NA	NA	NA	NA	NA
MIR200B	0.24988246480919019	1.5860772759050472	3.160746997927919	0.5018045661183343	0.615805000891664	NA
