rowname,baseMean,log2FoldChange,lfcSE,pvalue,padj
ABCC1,5930.81387065304,0.08287769099793506,0.15806305425776332,0.5663246707901786,0.7848295083907073
ABCC10,1005.9113246245723,0.02609311670365196,0.25303272273072214,0.8957139115263694,0.9579868173686774
ABCC11,26.492446687313585,0.13108570522358812,0.2908058060077353,0.5160524538685096,0.7522920912184289
ABCC12,0,NA,NA,NA,NA
ABCC13,1.225846383912416,0.06232794915330818,0.38490181969890036,0.5450725960402407,NA
ABCC2,2850.0078778192546,-0.04117866998902054,0.18603847875177415,0.7950218631233318,0.9101969117213079
ABCC3,1116.0089354988952,-0.1424278553543403,0.2581521036261562,0.48101002171439133,0.7274066323098783
ABCC4,492.41071932581053,-0.21188815983401005,0.15251974253328723,0.129437233810086,0.3350032729003006
ABCC5,857.4035421070498,0.16410392445158875,0.12982279001474192,0.1807276619228536,0.412826697053779
ABCC6,1865.4128428931394,1.6126861154068146,0.24541553063669203,4.599479571043677e-12,4.5624448004716374e-10
ABCC6P1,932.2339515667394,0.6866111305282689,0.38787565498617377,0.013546328248846516,0.06811511202415385
ABCC6P2,10.872683501159429,0.14073371162733114,0.3872176629702998,0.3692956652691104,0.6347574802516492
ABCC8,0.16970136034176467,-0.0017675568970011895,0.39201592141327074,1,NA
ABCC9,25.88379943545399,-0.2557111729388317,0.4744070273335234,0.09721981022527248,0.27795804248573136
ABCD1,1801.785675316657,0.0873882498282623,0.31250021080248497,0.6601211246200205,0.8397317055311058
ABCD1P2,0.23462680217002127,-0.01846799190115893,0.39249390221597985,0.6215773102491866,NA
ABCD1P3,0,NA,NA,NA,NA
ABCD1P4,0.05351372520589371,-0.0016931468941041282,0.3920280509954635,1,NA
ABCD1P5,0.16054117561768114,-0.0017548428785348,0.3920163439908789,1,NA
ABCD2,0.2722479991196895,0.004931079588867725,0.3906707541274026,0.8654422600044724,NA
ABCD3,2648.802852828276,-0.059941510612247374,0.1692621542327038,0.695038063103768,0.8575507583843972
ABCD4,488.34602887305994,0.41848687982803584,0.24591952544624082,0.03857593236016392,0.14568255691813697
ABCE1,2592.564891285951,-0.28008610886128515,0.1712538117779603,0.06794161583521173,0.21649481090919784
ABCF1,4662.8799496516795,0.24111467269968517,0.11596347770848338,0.028959558758109627,0.11953153731123552
ABCF2,1967.2072075937826,-0.1915300777582986,0.276502489727374,0.34221327851333233,0.610421536965164
ABCF2P1,0.4596239900457103,-0.02709381483692718,0.3899265819842912,0.6470376271970202,NA
ABCF2P2,0,NA,NA,NA,NA
ABCF3,1271.6610653262057,0.40255140546927176,0.3584549269510117,0.09141865083532144,0.2663572973794336
ABCG1,16.403648616785524,-0.07657643564033602,0.3612351961862187,0.6216373654911759,0.8191635965130558
ABCG2,331.19281158893307,-0.7681237568117664,0.3643865379217233,0.0047712758084775975,0.030255711602450715
ABCG4,0.19259308820281648,-0.014296631575729754,0.3919991853304905,0.8421878185982383,NA
ABCG5,227.15365566298442,-0.12167861949847385,0.33501311042800824,0.5210733496320613,0.7547806266811463
ABCG8,227.0559143214406,-0.12966087644374505,0.2616051209234594,0.5090282073280585,0.7474685086170741
ABHD1,14.545490048988482,0.06748644813709126,0.32631677249634655,0.7172968744178468,0.8725218344644103
ABHD10,406.6688231213376,-0.08918851254122409,0.12588732889461562,0.4520881000954683,0.7068905492863153
ABHD11,168.59734105492748,0.051621933246816173,0.23819065054160368,0.7872206652250913,0.9060897526395303
ABHD12,2997.923117748282,0.7460469293270503,0.26237574199419655,8.130432362095091e-4,0.007459488574376253
ABHD12B,48.935104316131934,-0.42667651500426923,0.4378618172453765,0.08310156283672662,0.24954972948571572
ABHD13,298.20952786841406,-0.10710159863360366,0.23572089186597836,0.5693876370495263,0.7865056102331643
ABHD14A,315.89251568434634,-0.06864644464167453,0.2667906358001611,0.7244172363900601,0.8770167778645235
ABHD14A-ACY1,17.369095415994217,-0.007696623212955975,0.3713597952813263,0.9451469198049157,0.9785201183964685
ABHD14B,1460.6318920702386,-0.09777406183536146,0.2697150218380535,0.6184168429716848,0.81721773207183
ABHD15,242.0952704958915,0.391352170029565,0.18559559195467987,0.017793440725083893,0.08376351325620388
ABHD16A,689.7328585612498,0.17893163492702543,0.3042642978593641,0.38634675983043637,0.6513888328474821
ABHD16B,520.9368477737632,0.42106865438355806,0.2919559119480205,0.05773401648104376,0.19451804935254177
ABHD17A,1466.0680719455652,0.5885774158140129,0.2333697038254763,0.0033187819004611638,0.022785488679301007
ABHD17AP1,2.7778680529768973,-0.08501676509544533,0.3874787902677755,0.44403255796211905,NA
ABHD17AP3,0.670609364994397,0.07587687903748021,0.3984459681273796,0.2719331756903746,NA
ABHD17AP4,0.25649761781636704,0.02242095488551696,0.3923684635670524,0.7419770063129032,NA
ABHD17AP5,0.19697267597545356,-0.017866729507898343,0.39239856603330064,0.6651829934961737,NA
ABHD17AP6,0.6128051088772293,0.0334626964751846,0.39317303426224554,0.5604540003268094,NA
ABHD17AP7,0,NA,NA,NA,NA
ABHD17AP8,0,NA,NA,NA,NA
ABHD17AP9,0,NA,NA,NA,NA
ABHD17B,254.40630545814489,-0.1608354532133056,0.16073166069914102,0.26971118303381303,0.5312840789199907
ABHD17C,244.1677691617974,-0.7855045369390622,0.3215982529861224,0.0020462214286480337,0.01565251804908731
ABHD18,223.35674318622162,0.07356964131724757,0.19764896221783654,0.6695776709744388,0.8444719522662931
ABHD2,349.51804809876285,0.2213983435390346,0.4688252801780876,0.06984089160517987,0.2205956442702604
ABHD3,416.41112791607105,0.12183131681057134,0.1732106330237213,0.4329442829282627,0.6924795042738514
ABHD4,2642.437731358237,1.6729875729406434,0.36395929259118476,3.1376051485915503e-7,9.36133911130557e-6
ABHD5,156.7511878528877,0.7013757876848522,0.21508577638910642,2.4691876922413e-4,0.0028793367318074884
ABHD6,219.44992892380614,0.12985684326165656,0.15542717051761307,0.36483946330260586,0.6307742664814645
ABHD8,357.65405615554414,0.07864530251535948,0.3214958213350491,0.6810006423463079,0.8503837985380003
ABI1,614.4918443915324,-0.1169476139301033,0.193910001622969,0.4842907165933723,0.7295163185761123
ABI1P1,0.2195047348010432,0.00748142717745338,0.39083808674866105,0.9899385616785916,NA
ABI2,1031.99770022481,-0.1425142125097346,0.15565742825718112,0.3169107004101013,0.5834089972842501
ABI3,0.26962583098450715,0.02857123896686166,0.39280241826476037,0.6558066152063868,NA
ABI3BP,5.2456867502408375,0.03280404661002598,0.3425379656462779,0.8492752928355677,0.9366594027759655
ABL1,1496.079224501858,-0.21959786168033057,0.26661074496033604,0.2742788647559311,0.536059771792165
ABL2,882.5456746063071,-0.29297264060551526,0.14312935352895803,0.027150676858256298,0.11370006540526703
ABLIM1,3605.2121946087236,-0.9528935049587927,0.13742539548658955,5.497204966383569e-13,6.342888538331169e-11
ABLIM2,4.677854705179126,0.1368993819286621,0.38501629620279454,0.37866869188759333,0.6439433304324698
ABLIM3,262.33486529734415,-0.750118302973505,0.23055061385827377,2.3111253460154799e-4,0.0027262355819098433
ABO,3.676897071636759,-0.10298259892911582,0.39292054338864313,0.36348426981329945,NA
ABR,1318.5606859871589,-0.19762090501695198,0.2985008918683645,0.33776808911138506,0.6058172278109097
ABRA,0.3877794956128418,-0.005601740147181994,0.38940387588243963,0.827529323739791,NA
ABRACL,164.15795847209188,0.38686427795855055,0.36874258430548035,0.10674216146282672,0.2952903401858278
ABT1,1052.7239148491367,-0.05911619597461009,0.1849136293120254,0.7242748519635887,0.8769667623669961
