rowname,baseMean,log2FoldChange,lfcSE,pvalue,padj
ABRACL,164.15795847209188,0.30172633224720974,0.33237385165081385,0.2363223191083686,0.46086885030212227
ABT1,1052.7239148491367,-0.0859947045410131,0.18020061015214509,0.6079106390514861,0.7927580201308919
ABT1P1,0.12731489426803505,0.027733235330884117,0.490510814653108,0.9225297110226313,NA
ABTB1,138.05027123123514,0.9077424437762804,0.3179237978303128,8.246841250599204e-4,0.00582717859512661
ABTB2,1015.4960527569215,0.8268760613892878,0.28941987194173835,9.8613800191772e-4,0.006802566450250928
AC000041.1,0,NA,NA,NA,NA
AC000041.2,0,NA,NA,NA,NA
AC000077.1,0,NA,NA,NA,NA
AC000078.1,0.483133620152567,-0.0522227622476642,0.487013895905351,0.6652302875601679,NA
AC000081.1,0.23048967094453277,-0.03282347359016429,0.49140211004759426,0.805874912270388,NA
AC000089.1,8.319091106684509,-0.22935938576632742,0.4214816624325479,0.3642456485502335,0.5971594211407902
AC000095.1,0.058261078352246164,-0.028100913205795556,0.49076634330608104,0.8058773268547056,NA
AC000111.2,0,NA,NA,NA,NA
AC000111.3,0,NA,NA,NA,NA
AC000362.1,0,NA,NA,NA,NA
AC000367.1,9.190290950698161,-0.6963045462119505,0.4633227322115343,0.030431735651393118,0.1085662461053446
AC000374.1,0,NA,NA,NA,NA
AC001226.2,2.5199723802296425,-0.21267245797694112,0.49790865726667366,0.2996140902336761,0.5321103717095059
AC002056.1,0.757640232105025,-0.039060496037327974,0.48591829336080994,0.6379575066169356,NA
AC002069.1,0,NA,NA,NA,NA
AC002069.2,0,NA,NA,NA,NA
AC002075.1,0,NA,NA,NA,NA
AC002075.2,0.27760600156747944,-0.040310141124126536,0.49170349899278404,0.7809447184814573,NA
AC002076.2,0,NA,NA,NA,NA
AC002094.3,0.44182478444218193,-0.005581394983760799,0.49059253622460036,1,NA
AC002127.1,0,NA,NA,NA,NA
AC002310.3,0.7918888142504709,-0.10859780695311927,0.4911646257289059,0.37357685744904134,NA
AC002310.4,1.363549828711157,-0.029913110309788653,0.48715235332114226,0.6654903449807875,NA
AC002310.5,43.745871493203815,0.04714440720137306,0.46215218133783037,0.7793293448082605,0.8994320089344378
AC002350.1,0.3687429080088476,-0.04986154439305317,0.49318746762731497,0.5629620012384137,NA
AC002366.1,0.05351372520589371,-0.00321441442447917,0.4907283088534109,1,NA
